,date,height_RVN,flow_RVN,stock_RVN,open_RVN,high_RVN,low_RVN,close_RVN,adj_close_RVN,volume_RVN,open_BTC,high_BTC,low_BTC,close_BTC,adj_close_BTC,volume_BTC
0,2018-01-03,5945000,5945000,5945000,,,,,,,,,,,,
1,2018-01-04,10945000,10945000,16890000,,,,,,,,,,,,
2,2018-01-05,11500000,11500000,28390000,,,,,,,,,,,,
3,2018-01-06,9265000,9265000,37655000,,,,,,,,,,,,
4,2018-01-07,13170000,13170000,50825000,,,,,,,,,,,,
5,2018-01-08,10955000,10955000,61780000,,,,,,,,,,,,
6,2018-01-09,7670000,7670000,69450000,,,,,,,,,,,,
7,2018-01-10,8425000,8425000,77875000,,,,,,,,,,,,
8,2018-01-11,8785000,8785000,86660000,,,,,,,,,,,,
9,2018-01-12,7785000,7785000,94445000,,,,,,,,,,,,
10,2018-01-13,6500000,6500000,100945000,,,,,,,,,,,,
11,2018-01-14,7590000,7590000,108535000,,,,,,,,,,,,
12,2018-01-15,7725000,7725000,116260000,,,,,,,,,,,,
13,2018-01-16,8555000,8555000,124815000,,,,,,,,,,,,
14,2018-01-17,9315000,9315000,134130000,,,,,,,,,,,,
15,2018-01-18,13285000,13285000,147415000,,,,,,,,,,,,
16,2018-01-19,10310000,10310000,157725000,,,,,,,,,,,,
17,2018-01-20,7255000,7255000,164980000,,,,,,,,,,,,
18,2018-01-21,8840000,8840000,173820000,,,,,,,,,,,,
19,2018-01-22,8920000,8920000,182740000,,,,,,,,,,,,
20,2018-01-23,10830000,10830000,193570000,,,,,,,,,,,,
21,2018-01-24,6770000,6770000,200340000,,,,,,,,,,,,
22,2018-01-25,9430000,9430000,209770000,,,,,,,,,,,,
23,2018-01-26,8845000,8845000,218615000,,,,,,,,,,,,
24,2018-01-27,7790000,7790000,226405000,,,,,,,,,,,,
25,2018-01-28,8160000,8160000,234565000,,,,,,,,,,,,
26,2018-01-29,8710000,8710000,243275000,,,,,,,,,,,,
27,2018-01-30,12090000,12090000,255365000,,,,,,,,,,,,
28,2018-01-31,10900000,10900000,266265000,,,,,,,,,,,,
29,2018-02-01,7575000,7575000,273840000,,,,,,,,,,,,
30,2018-02-02,2040000,2040000,275880000,,,,,,,,,,,,
31,2018-02-03,2880000,2880000,278760000,,,,,,,,,,,,
32,2018-02-04,14640000,14640000,293400000,,,,,,,,,,,,
33,2018-02-05,8535000,8535000,301935000,,,,,,,,,,,,
34,2018-02-06,7440000,7440000,309375000,,,,,,,,,,,,
35,2018-02-07,8900000,8900000,318275000,,,,,,,,,,,,
36,2018-02-08,9065000,9065000,327340000,,,,,,,,,,,,
37,2018-02-09,7575000,7575000,334915000,,,,,,,,,,,,
38,2018-02-10,8435000,8435000,343350000,,,,,,,,,,,,
39,2018-02-11,7085000,7085000,350435000,,,,,,,,,,,,
40,2018-02-12,7395000,7395000,357830000,,,,,,,,,,,,
41,2018-02-13,7840000,7840000,365670000,,,,,,,,,,,,
42,2018-02-14,7760000,7760000,373430000,,,,,,,,,,,,
43,2018-02-15,7735000,7735000,381165000,,,,,,,,,,,,
44,2018-02-16,9060000,9060000,390225000,,,,,,,,,,,,
45,2018-02-17,8350000,8350000,398575000,,,,,,,,,,,,
46,2018-02-18,8110000,8110000,406685000,,,,,,,,,,,,
47,2018-02-19,8265000,8265000,414950000,,,,,,,,,,,,
48,2018-02-20,7225000,7225000,422175000,,,,,,,,,,,,
49,2018-02-21,6780000,6780000,428955000,,,,,,,,,,,,
50,2018-02-22,7405000,7405000,436360000,,,,,,,,,,,,
51,2018-02-23,7460000,7460000,443820000,,,,,,,,,,,,
52,2018-02-24,7645000,7645000,451465000,,,,,,,,,,,,
53,2018-02-25,8140000,8140000,459605000,,,,,,,,,,,,
54,2018-02-26,9830000,9830000,469435000,,,,,,,,,,,,
55,2018-02-27,10060000,10060000,479495000,,,,,,,,,,,,
56,2018-02-28,9475000,9475000,488970000,,,,,,,,,,,,
57,2018-03-01,9145000,9145000,498115000,,,,,,,,,,,,
58,2018-03-02,7530000,7530000,505645000,,,,,,,,,,,,
59,2018-03-03,6540000,6540000,512185000,,,,,,,,,,,,
60,2018-03-04,8060000,8060000,520245000,,,,,,,,,,,,
61,2018-03-05,9005000,9005000,529250000,,,,,,,,,,,,
62,2018-03-06,8480000,8480000,537730000,,,,,,,,,,,,
63,2018-03-07,7540000,7540000,545270000,,,,,,,,,,,,
64,2018-03-08,8550000,8550000,553820000,,,,,,,,,,,,
65,2018-03-09,7035000,7035000,560855000,,,,,,,,,,,,
66,2018-03-10,7145000,7145000,568000000,0.026499,0.028772000000000002,0.026063,0.028618,0.028618,171820.0,9350.589844,9531.320313,8828.469727,8866.0,8866.0,5386319872.0
67,2018-03-11,7380000,7380000,575380000,0.02852,0.033503,0.026241000000000004,0.031883,0.031883,279104.0,8852.780273,9711.889648,8607.120117,9578.629883,9578.629883,6296370176.0
68,2018-03-12,7345000,7345000,582725000,0.031495999999999996,0.034305,0.028595,0.030257999999999997,0.030257999999999997,218114.0,9602.929688,9937.5,8956.429688,9205.120117,9205.120117,6457399808.0
69,2018-03-13,7675000,7675000,590400000,0.029901999999999998,0.030913,0.025711,0.027902,0.027902,167669.0,9173.040039,9470.379883,8958.19043,9194.849609,9194.849609,5991139840.0
70,2018-03-14,7455000,7455000,597855000,0.027723,0.028685000000000002,0.023747,0.024386,0.024386,131838.0,9214.650391,9355.849609,8068.589844,8269.80957,8269.80957,6438230016.0
